Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Erwerbstätige;Bruttoinlandsprodukt je Einwohner;Offene Stellen mit Anforderungsniveau Experte;Angebotsmietpreise;Neubauwohnungen je Einwohner;Beschäftigte Tertiärer Sektor;Beschäftigte in Kreativbranchen;Einwohner 65 Jahre und älter;Gesamtwanderungssaldo;Medianeinkommen;Kaufkraft;Erholungsfläche je Einwohner;Waldfläche;Wasserfläche;Pädagogisches Personal in Tageseinrichtungen;Zuweisungen für Investitionsfördermaßnahmen;Einwohnerdichte;Erreichbarkeit von Autobahnen;Erreichbarkeit von Flughäfen;Erreichbarkeit von IC/EC/ICE-Bahnhöfen;Nahversorgung Supermärkte Durchschnittsdistanz;Nahversorgung Apotheken Durchschnittsdistanz;Bandbreitenverfügbarkeit mindestens 100 Mbit/s;Pkw Elektro (BEV);Großunternehmen;Beschäftigte am AO mit akademischem Berufsabschluss;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Nahversorgung Haltestellen des ÖV Durchschnittsdistanz;Ladepunkte je 100 Elektrofahrzeuge (BEV);Verunglückte im Straßenverkehr;Bauüberhänge;Kinderarmut;Kindertagesstätten;Integrative Kindertageseinrichtungen;Frauenanteil in Stadträten und Kreistagen;Auszubildende;Studierende je 100 Einwohner 18 bis 25 Jahre;Beschäftigtenquote Ausländer;Ärzte;Bandbreitenverfügbarkeit mindestens 1.000 Mbit/s
;;;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2019;2020;2021;2021;2021;2021;2021;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2019;2020;2020;2020;2020;2020
"01001";"Flensburg, Stadt";"Kreise";"89.934,00";"61,00";"43,47";"16,49";"7,61";"7,78";"83,83";"3,25";"20,32";"0,36";"3.190,17";"21.904,95";"25,91";"6,68";"14,42";"5,98";"18,07";"1.585,30";"5,88";"98,31";"0,00";"487,54";"636,68";"98,44";"0,32";"0,67";"14,74";"8,33";"1,36";"176,48";"22,92";"425,87";"127,98";"24,55";"70,00";"66,20";"32,56";"50,43";"95,73";"36,27";"21,07";"96,31"
"01002";"Kiel, Landeshauptstadt";"Kreise";"246.601,00";"175,00";"48,77";"14,65";"8,46";"1,88";"83,96";"4,25";"18,89";"1,00";"3.570,56";"22.194,52";"49,07";"6,74";"9,19";"6,86";"66,50";"2.078,39";"3,07";"64,67";"0,00";"439,63";"463,42";"98,30";"0,32";"0,79";"20,49";"15,25";"4,06";"191,39";"26,42";"494,73";"101,74";"27,46";"132,00";"44,03";"39,66";"51,83";"136,59";"35,63";"22,91";"90,42"
"01003";"Lübeck, Hansestadt";"Kreise";"215.846,00";"133,00";"44,57";"6,12";"8,78";"4,80";"76,27";"3,12";"23,51";"1,95";"3.280,24";"23.343,36";"59,72";"15,42";"13,61";"6,32";"186,59";"1.007,73";"3,41";"54,14";"0,00";"575,91";"761,33";"97,61";"0,31";"0,63";"13,61";"16,67";"7,03";"255,05";"17,42";"553,64";"103,45";"23,31";"115,00";"47,29";"25,00";"43,53";"71,95";"40,46";"21,82";"92,63"
"01004";"Neumünster, Stadt";"Kreise";"79.905,00";"54,00";"45,10";"6,66";"6,85";"2,22";"78,70";"0,99";"22,82";"1,16";"3.075,04";"22.931,73";"49,18";"4,63";"2,58";"6,66";"81,84";"1.115,06";"7,56";"47,98";"0,00";"580,76";"690,21";"97,92";"0,17";"0,58";"9,40";"13,68";"20,00";"180,88";"38,03";"585,70";"94,49";"22,02";"37,00";"56,76";"23,91";"49,14";"0,00";"35,04";"15,02";"96,06"
"01051";"Dithmarschen";"Kreise";"133.251,00";"62,00";"34,14";"6,71";"6,35";"5,07";"69,15";"0,88";"25,30";"6,02";"3.096,35";"23.860,16";"59,59";"3,78";"4,76";"7,30";"116,85";"93,30";"14,94";"71,53";"19,26";"1.794,84";"2.450,57";"79,86";"0,30";"0,21";"7,91";"34,29";"37,91";"583,00";"39,67";"463,79";"98,99";"16,22";"86,00";"56,10";"27,78";"64,64";"18,55";"42,53";"12,91";"47,80"
"01053";"Herzogtum Lauenburg";"Kreise";"199.152,00";"72,00";"24,08";"7,28";"8,02";"7,83";"72,18";"1,28";"22,66";"9,03";"3.073,56";"26.386,23";"61,51";"26,23";"4,15";"6,68";"60,78";"157,67";"11,02";"50,03";"20,32";"1.446,84";"2.064,04";"96,75";"0,27";"0,20";"10,78";"28,37";"24,28";"340,99";"22,19";"410,74";"100,48";"11,88";"141,00";"36,57";"36,73";"45,67";"0,00";"40,42";"12,67";"90,74"
"01054";"Nordfriesland";"Kreise";"167.147,00";"92,00";"36,88";"7,06";"7,02";"7,23";"79,32";"1,39";"24,61";"11,97";"2.934,05";"24.223,89";"99,13";"4,21";"4,08";"8,05";"117,29";"80,22";"40,57";"122,60";"21,94";"1.452,66";"2.782,08";"80,59";"0,54";"0,15";"7,91";"51,59";"46,23";"823,59";"40,25";"611,44";"149,03";"10,41";"121,00";"40,00";"26,79";"53,03";"0,00";"44,87";"13,49";"50,85"
"01055";"Ostholstein";"Kreise";"201.487,00";"93,00";"27,84";"6,18";"8,20";"5,43";"78,27";"1,51";"28,01";"12,33";"2.808,18";"25.045,24";"117,77";"10,19";"4,06";"8,06";"45,94";"144,64";"9,03";"79,45";"14,67";"1.389,92";"1.887,07";"82,51";"0,21";"0,19";"8,49";"34,18";"28,69";"614,64";"59,48";"543,96";"112,31";"11,52";"105,00";"36,84";"27,87";"48,84";"0,00";"46,95";"15,34";"62,64"
"01056";"Pinneberg";"Kreise";"317.085,00";"132,00";"29,88";"6,43";"9,45";"4,89";"68,81";"1,76";"22,30";"5,93";"3.237,96";"26.848,45";"47,40";"8,81";"5,71";"7,14";"44,04";"477,36";"9,97";"30,66";"25,02";"808,14";"1.064,92";"93,54";"0,27";"0,20";"12,77";"24,71";"27,64";"326,88";"22,55";"421,34";"99,15";"13,43";"159,00";"54,84";"38,10";"45,16";"18,28";"45,41";"13,15";"88,38"
"01057";"Plön";"Kreise";"129.353,00";"45,00";"21,25";"8,84";"7,61";"4,17";"73,62";"2,10";"26,66";"10,06";"3.001,52";"25.124,27";"104,44";"11,37";"10,17";"7,62";"43,34";"119,38";"17,97";"80,68";"24,03";"1.559,87";"2.270,31";"85,90";"0,26";"0,11";"10,25";"33,57";"30,97";"569,95";"16,67";"449,16";"83,80";"11,14";"102,00";"43,96";"30,36";"46,38";"0,00";"36,34";"12,79";"70,33"
"01058";"Rendsburg-Eckernförde";"Kreise";"274.765,00";"121,00";"31,91";"6,75";"7,84";"3,24";"73,72";"2,35";"23,98";"6,34";"3.144,81";"25.643,04";"85,53";"11,71";"4,37";"7,79";"78,66";"125,48";"13,08";"70,11";"20,01";"1.476,26";"2.084,02";"80,74";"0,27";"0,25";"11,25";"33,88";"41,49";"720,93";"19,53";"458,21";"78,69";"10,82";"184,00";"29,94";"37,10";"51,48";"7,84";"35,39";"13,39";"70,19"
"01059";"Schleswig-Flensburg";"Kreise";"202.647,00";"85,00";"27,75";"6,19";"6,77";"6,71";"75,22";"1,45";"24,30";"11,52";"2.897,19";"24.289,58";"66,87";"7,04";"5,52";"8,26";"89,40";"97,84";"16,32";"97,57";"24,10";"1.773,78";"2.470,66";"67,61";"0,27";"0,18";"8,31";"43,85";"38,19";"797,88";"26,57";"463,86";"99,48";"9,95";"142,00";"53,47";"26,79";"51,81";"0,00";"35,94";"11,18";"45,53"
"01060";"Segeberg";"Kreise";"278.007,00";"128,00";"33,56";"5,01";"9,54";"5,32";"71,05";"1,45";"22,16";"6,38";"3.258,13";"25.519,32";"60,83";"17,53";"1,79";"8,26";"34,59";"206,78";"7,73";"43,86";"24,84";"1.187,85";"1.667,66";"94,72";"0,30";"0,35";"12,49";"23,08";"16,09";"462,34";"25,15";"480,92";"92,98";"10,26";"164,00";"44,17";"33,87";"43,38";"0,00";"41,79";"11,65";"88,57"
"01061";"Steinburg";"Kreise";"130.706,00";"58,00";"35,33";"6,83";"6,88";"2,61";"69,07";"1,92";"23,17";"3,04";"3.182,11";"23.984,06";"54,09";"9,32";"5,72";"8,30";"89,70";"123,81";"11,07";"47,35";"16,14";"1.440,14";"1.972,10";"93,46";"0,21";"0,34";"9,64";"31,80";"32,21";"718,92";"24,26";"432,27";"55,70";"13,57";"75,00";"41,89";"25,93";"60,42";"0,00";"39,67";"13,58";"85,06"
"01062";"Stormarn";"Kreise";"244.989,00";"119,00";"36,16";"4,70";"9,66";"4,10";"69,08";"1,80";"23,46";"7,19";"3.229,97";"28.553,32";"61,96";"13,87";"1,57";"7,75";"45,35";"319,74";"6,41";"37,35";"23,37";"1.149,53";"1.579,64";"97,24";"0,32";"0,32";"12,08";"37,62";"27,78";"376,91";"27,16";"467,37";"92,70";"9,21";"172,00";"33,73";"40,62";"43,54";"1,21";"48,32";"12,87";"90,08"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"1.852.478,00";"1.292,00";"64,75";"10,64";"11,93";"6,08";"84,06";"7,00";"18,17";"2,19";"3.862,69";"26.220,42";"34,97";"8,25";"8,23";"7,38";"0,00";"2.453,32";"6,51";"18,91";"0,00";"447,53";"543,02";"97,60";"0,42";"0,51";"25,45";"20,57";"5,87";"226,40";"34,11";"426,94";"134,37";"18,92";"1.130,00";"31,51";"44,72";"35,26";"80,22";"48,48";"17,95";"95,84"
"03101";"Braunschweig, Stadt";"Kreise";"248.561,00";"168,00";"79,39";"16,81";"8,48";"3,27";"78,83";"6,17";"21,19";"-0,76";"3.697,96";"25.656,84";"58,62";"13,39";"2,53";"7,42";"22,08";"1.289,89";"2,36";"46,80";"3,91";"449,10";"550,02";"97,51";"0,56";"0,66";"22,16";"25,12";"13,29";"209,92";"12,53";"393,06";"37,46";"13,30";"183,00";"16,18";"36,36";"45,30";"92,36";"46,50";"20,03";"92,15"
"03102";"Salzgitter, Stadt";"Kreise";"103.866,00";"58,00";"48,96";"11,24";"5,49";"1,22";"43,87";"0,80";"23,02";"-1,27";"4.292,84";"22.624,15";"67,78";"18,18";"2,63";"6,60";"79,45";"462,68";"2,96";"53,50";"15,57";"768,41";"868,41";"96,95";"0,13";"0,64";"11,17";"25,35";"15,97";"236,69";"64,38";"373,56";"39,19";"26,02";"49,00";"26,79";"13,64";"38,59";"27,20";"42,34";"16,46";"73,58"
"03103";"Wolfsburg, Stadt";"Kreise";"123.840,00";"131,00";"164,93";"10,83";"8,53";"5,64";"38,23";"5,45";"22,40";"-0,69";"5.067,06";"26.514,37";"78,25";"24,03";"2,71";"6,62";"62,62";"605,25";"4,52";"61,85";"0,00";"531,36";"845,07";"96,31";"1,46";"0,94";"26,07";"12,71";"9,72";"203,61";"14,90";"320,57";"176,92";"13,25";"57,00";"32,31";"40,43";"35,01";"34,05";"51,80";"17,14";"82,09"
"03151";"Gifhorn";"Kreise";"177.227,00";"60,00";"21,46";"7,09";"7,60";"4,98";"73,91";"16,05";"20,58";"4,67";"3.363,48";"26.022,50";"80,63";"34,50";"1,43";"8,21";"84,71";"113,06";"24,41";"68,39";"27,99";"1.713,10";"2.223,65";"74,24";"0,16";"0,39";"15,73";"35,89";"30,32";"413,75";"11,93";"389,33";"76,29";"8,43";"101,00";"25,40";"20,37";"48,55";"0,00";"43,78";"10,30";"36,53"
"03153";"Goslar";"Kreise";"134.688,00";"61,00";"28,71";"6,44";"5,77";"0,65";"73,35";"1,79";"27,80";"-2,25";"3.050,08";"23.992,86";"70,90";"58,40";"1,72";"8,10";"79,31";"139,32";"11,79";"76,45";"37,34";"1.030,85";"1.407,69";"93,82";"0,14";"0,26";"10,77";"46,77";"39,47";"348,51";"30,36";"417,26";"24,58";"18,18";"68,00";"26,32";"24,00";"47,54";"38,28";"37,22";"14,77";"69,31"
"03154";"Helmstedt";"Kreise";"91.518,00";"31,00";"21,43";"11,33";"5,83";"3,23";"73,72";"2,29";"23,70";"7,10";"2.928,61";"25.258,20";"66,98";"25,60";"1,60";"7,42";"97,19";"135,36";"10,15";"65,42";"13,64";"1.640,33";"1.955,16";"79,44";"0,25";"0,37";"10,28";"42,72";"35,66";"355,89";"19,29";"376,98";"69,60";"11,65";"64,00";"10,96";"28,57";"47,37";"0,00";"48,01";"11,45";"40,55"
"03155";"Northeim";"Kreise";"131.772,00";"61,00";"28,94";"5,64";"5,69";"1,38";"58,61";"0,88";"25,91";"2,82";"3.126,62";"23.879,96";"90,38";"38,84";"1,04";"7,77";"71,67";"103,86";"16,78";"80,07";"32,94";"1.975,79";"1.955,13";"91,69";"0,18";"0,45";"10,18";"56,91";"55,49";"787,43";"35,03";"353,64";"38,85";"13,00";"87,00";"21,98";"30,00";"43,10";"0,00";"42,91";"13,94";"48,12"
"03157";"Peine";"Kreise";"135.844,00";"46,00";"22,10";"6,56";"7,00";"4,42";"67,81";"1,57";"21,60";"9,97";"3.139,89";"24.535,50";"63,31";"10,50";"2,29";"7,65";"52,55";"253,20";"7,71";"38,59";"22,55";"1.303,07";"1.739,18";"79,67";"0,20";"0,29";"9,60";"43,87";"41,97";"277,42";"7,74";"329,79";"35,33";"14,17";"93,00";"23,30";"24,00";"41,08";"0,00";"44,92";"11,56";"65,04"
"03158";"Wolfenbüttel";"Kreise";"119.361,00";"37,00";"21,19";"8,80";"7,12";"2,72";"75,68";"2,42";"24,09";"2,23";"3.214,91";"25.791,34";"71,63";"19,39";"1,14";"6,79";"49,23";"164,79";"8,63";"61,98";"18,29";"1.732,39";"1.802,22";"80,63";"0,22";"0,25";"14,07";"38,83";"29,21";"300,23";"12,88";"394,60";"30,58";"11,78";"76,00";"13,79";"19,57";"41,69";"67,45";"43,98";"11,62";"48,08"
