"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in ng/m³"
UBA;DEUB030;Neuglobsow;"ländlich regional";Hintergrund;1,9
UBA;DEUB029;Schmücke;"ländliches Gebiet";Hintergrund;1,3
UBA;DEUB028;Zingst;"ländliches Gebiet";Hintergrund;1,6
UBA;DEUB005;Waldhof;"ländliches Gebiet";Hintergrund;2,3
UBA;DEUB004;Schauinsland;"ländlich regional";Hintergrund;0,87
UBA;DEUB001;Westerland;"ländliches Gebiet";Hintergrund;1,3
Thüringen;DETH117;"Erfurt Bautzener Weg";"vorstädtisches Gebiet";Hintergrund;3,3
Thüringen;DETH061;Hummelshain;"ländlich abgelegen";Hintergrund;2,1
Thüringen;DETH011;"Altenburg Theaterplatz";"städtisches Gebiet";Hintergrund;4,7
Sachsen-Anhalt;DEST104;"Domäne Bobbe";"ländliches Gebiet";Hintergrund;3,3
Sachsen-Anhalt;DEST002;Burg;"vorstädtisches Gebiet";Hintergrund;4,5
Sachsen;DESN104;"Chemnitz Hans-Link-Straße";"städtisches Gebiet";Hintergrund;3,3
Sachsen;DESN074;Schwartenberg;"ländlich regional";Hintergrund;1,8
Sachsen;DESN051;Radebeul-Wahnsdorf;"ländlich stadtnah";Hintergrund;3,6
Sachsen;DESN045;Zittau-Ost;"vorstädtisches Gebiet";Hintergrund;5,4
Sachsen;DESN017;Freiberg;"städtisches Gebiet";Hintergrund;11
Schleswig-Holstein;DESH035;"Brunsbüttel-Cuxhavener Straße";"städtisches Gebiet";Hintergrund;2,4
Schleswig-Holstein;DESH023;"Lübeck-St. Jürgen";"städtisches Gebiet";Hintergrund;2
Saarland;DESL017;"Völklingen-City Stadionstr.";"städtisches Gebiet";Hintergrund;48
Saarland;DESL010;Saarbrücken-Burbach;"städtisches Gebiet";Hintergrund;11
Rheinland-Pfalz;DERP053;Speyer-Nord;"vorstädtisches Gebiet";Hintergrund;3
Rheinland-Pfalz;DERP022;"Bad Kreuznach-Bosenheimer Straße";"städtisches Gebiet";Hintergrund;2,9
Nordrhein-Westfalen;DENW053;Köln-Chorweiler;"städtisches Gebiet";Hintergrund;3,5
Nordrhein-Westfalen;DENW038;Mülheim-Styrum;"städtisches Gebiet";Hintergrund;7
Niedersachsen;DENI031;Jadebusen;"ländliches Gebiet";Hintergrund;2,2
Niedersachsen;DENI016;Oker/Harlingerode;"vorstädtisches Gebiet";Hintergrund;16
Mecklenburg-Vorpommern;DEMV019;Güstrow;"städtisches Gebiet";Hintergrund;2,6
Mecklenburg-Vorpommern;DEMV012;Löcknitz;"ländliches Gebiet";Hintergrund;2,8
Hamburg;DEHH059;"Hamburg Wilhelmsburg";"städtisches Gebiet";Hintergrund;6,1
Hessen;DEHE057;Wetzlar-Hermannstein;"städtisches Gebiet";Hintergrund;4,8
Hessen;DEHE056;"Frankfurt Mitte";"städtisches Gebiet";Hintergrund;2,6
Hessen;DEHE054;"Hanau Mitte";"städtisches Gebiet";Hintergrund;2,8
Hessen;DEHE053;Frankfurt-Griesheim;"städtisches Gebiet";Hintergrund;3,2
Hessen;DEHE052;"Kleiner Feldberg";"ländliches Gebiet";Hintergrund;1,2
Hessen;DEHE043;Riedstadt;"ländlich stadtnah";Hintergrund;2,7
Hessen;DEHE042;Linden;"ländliches Gebiet";Hintergrund;2,2
Hessen;DEHE022;"Wiesbaden Süd";"städtisches Gebiet";Hintergrund;2,9
