Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Zahl der Tage mit höchstem 8-Stunden-Mittelwert über 10 mg/m³;Jahresmittelwert in mg/m³
UBA;DEUB030;Neuglobsow;ländlich regional;Hintergrund;0;0,13
Sachsen-Anhalt;DEST105;Stendal Stadtsee;städtisches Gebiet;Hintergrund;0;0,19
Sachsen-Anhalt;DEST011;Wernigerode/Bahnhof;städtisches Gebiet;Hintergrund;0;0,23
Rheinland-Pfalz;DERP025;Wörth-Marktplatz;städtisches Gebiet;Hintergrund;0;0,21
Rheinland-Pfalz;DERP022;Bad Kreuznach-Bosenheimer Straße;städtisches Gebiet;Hintergrund;0;0,23
Rheinland-Pfalz;DERP021;Neuwied-Hafenstraße;städtisches Gebiet;Hintergrund;0;0,27
Rheinland-Pfalz;DERP019;Kaiserslautern-Rathausplatz;städtisches Gebiet;Hintergrund;0;0,24
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;städtisches Gebiet;Hintergrund;0;0,24
Rheinland-Pfalz;DERP007;Mainz-Mombach;städtisches Gebiet;Hintergrund;0;0,22
Rheinland-Pfalz;DERP001;Ludwigshafen-Oppau;städtisches Gebiet;Hintergrund;0;0,27
Hessen;DEHE042;Linden;ländliches Gebiet;Hintergrund;0;0,2
Hessen;DEHE018;Raunheim;städtisches Gebiet;Hintergrund;0;0,27
Hessen;DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;0;0,26
Bremen;DEHB012;Bremen-Oslebshausen;städtisches Gebiet;Hintergrund;0;0,22
Bremen;DEHB005;Bremerhaven-Hansastraße;städtisches Gebiet;Hintergrund;0;0,21
Bremen;DEHB001;Bremen-Mitte;städtisches Gebiet;Hintergrund;0;0,22
Bayern;DEBY099;Augsburg/LfU;vorstädtisches Gebiet;Hintergrund;0;0,23
Brandenburg;DEBB086;Blankenfelde-Mahlow;vorstädtisches Gebiet;Hintergrund;0;0,22
Sachsen-Anhalt;DEST015;Bitterfeld/Wolfen;vorstädtisches Gebiet;Industrie;0;0,19
Saarland;DESL003;Dillingen City;städtisches Gebiet;Industrie;0;0,37
Rheinland-Pfalz;DERP003;Ludwigshafen-Mundenheim;städtisches Gebiet;Industrie;0;0,27
Niedersachsen;DENI070;Salzgitter-Drütte;ländliches Gebiet;Industrie;0;0,21
Brandenburg;DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;0;0,24
Sachsen-Anhalt;DEST133;Halle/Riebeckplatz;städtisches Gebiet;Verkehr;0;0,24
