"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Stundenmittelwerte über 200 µg/m³*"
Sachsen;DESN076;Collmberg;"ländlich abgelegen";Hintergrund;7;0
Sachsen-Anhalt;DEST039;Brocken;"ländlich abgelegen";Hintergrund;3;0
Thüringen;DETH027;Neuhaus;"ländlich abgelegen";Hintergrund;4;0
Thüringen;DETH042;Possen;"ländlich abgelegen";Hintergrund;5;0
Thüringen;DETH061;Hummelshain;"ländlich abgelegen";Hintergrund;4;0
UBA;DEUB046;Forellenbach;"ländlich abgelegen";Hintergrund;2;0
Bremen;DEHB013;Bremen-Hasenbüren;"ländlich regional";Industrie;12;0
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;8;0
Brandenburg;DEBB065;"Lütte (Belzig)";"ländlich regional";Hintergrund;6;0
Brandenburg;DEBB066;Spreewald;"ländlich regional";Hintergrund;6;0
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;3;0
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;6;0
Bayern;DEBY013;Mehring/Sportplatz;"ländlich regional";Hintergrund;12;0
Bayern;DEBY049;"Neustadt a.d. Donau/Eining";"ländlich regional";Hintergrund;9;0
Bayern;DEBY072;Tiefenbach/Altenschneeberg;"ländlich regional";Hintergrund;5;0
Bayern;DEBY109;Andechs/Rothenfeld;"ländlich regional";Hintergrund;6;0
Bayern;DEBY122;"Bad Hindelang/Unterjoch";"ländlich regional";Hintergrund;5;0
Bayern;DEBY124;"Burgbernheim/Grüne Au";"ländlich regional";Hintergrund;10;0
Hessen;DEHE026;Spessart;"ländlich regional";Hintergrund;6;0
Hessen;DEHE060;Kellerwald;"ländlich regional";Hintergrund;5;0
Nordrhein-Westfalen;DENW064;"Simmerath (Eifel)";"ländlich regional";Hintergrund;5;0
Nordrhein-Westfalen;DENW065;"Netphen Rothaargebirge";"ländlich regional";Hintergrund;3;0
Saarland;DESL019;Biringen;"ländlich regional";Hintergrund;7;0
Schleswig-Holstein;DESH008;Bornhöved;"ländlich regional";Hintergrund;8;0
Schleswig-Holstein;DESH056;Eggebek;"ländlich regional";Hintergrund;8;0
